year,global_avg_temp,SH_avg_temp2,temperature difference,Moving Average delta temperature,Global Moving Average,Shanghai Moving Average
1841,7.69,14.87,7.18,,,
1842,8.02,15.43,7.41,,,
1843,8.17,15.53,7.36,,,
1844,7.65,15.33,7.68,,,
1845,7.85,15.43,7.58,,,
1846,8.55,15.85,7.3,,,
1847,8.09,15.78,7.69,,,
1848,7.98,15.02,7.04,,,
1849,7.98,15.44,7.46,,,
1850,7.9,15.6,7.7,7.44,7.988,15.428
1851,8.18,15.22,7.04,7.426,8.037,15.463
1852,8.1,15.44,7.34,7.419,8.045,15.464
1853,8.04,15.79,7.75,7.458,8.032,15.49
1854,8.21,15.99,7.78,7.468,8.088,15.556
1855,8.11,15.84,7.73,7.483,8.114,15.597
1856,8,15.55,7.55,7.508,8.059,15.567
1857,7.76,15.93,8.17,7.556,8.026,15.582
1858,8.1,15.49,7.39,7.591,8.038,15.629
1859,8.25,15.64,7.39,7.584,8.065,15.649
1860,7.96,15.05,7.09,7.523,8.071,15.594
1861,7.85,15.29,7.44,7.563,8.038,15.601
1862,7.56,14.47,6.91,7.52,7.984,15.504
1863,8.11,15.2,7.09,7.454,7.991,15.445
1864,7.98,14.85,6.87,7.363,7.968,15.331
1865,8.18,15.72,7.54,7.344,7.975,15.319
1866,8.29,15.54,7.25,7.314,8.004,15.318
1867,8.44,15.95,7.51,7.248,8.072,15.32
1868,8.25,15.86,7.61,7.27,8.087,15.357
1869,8.43,16.09,7.66,7.297,8.105,15.402
1870,8.2,15.95,7.75,7.363,8.129,15.492
1871,8.12,16.31,8.19,7.438,8.156,15.594
1872,8.19,16.12,7.93,7.54,8.219,15.759
1873,8.35,15.74,7.39,7.57,8.243,15.813
1874,8.43,15.68,7.25,7.608,8.288,15.896
1875,7.86,15.47,7.61,7.615,8.256,15.871
1876,8.08,15.6,7.52,7.642,8.235,15.877
1877,8.54,15.43,6.89,7.58,8.245,15.825
1878,8.83,15.46,6.63,7.482,8.303,15.785
1879,8.17,16.13,7.96,7.512,8.277,15.789
1880,8.12,15.28,7.16,7.453,8.269,15.722
1881,8.27,15.63,7.36,7.37,8.284,15.654
1882,8.13,15.54,7.41,7.318,8.278,15.596
1883,7.98,15.41,7.43,7.322,8.241,15.563
1884,7.77,14.92,7.15,7.312,8.175,15.487
1885,7.92,14.91,6.99,7.25,8.181,15.431
1886,7.95,15.06,7.11,7.209,8.168,15.377
1887,7.91,15.65,7.74,7.294,8.105,15.399
1888,8.09,15.87,7.78,7.409,8.031,15.44
1889,8.32,15.3,6.98,7.311,8.046,15.357
1890,7.97,16.22,8.25,7.42,8.031,15.451
1891,8.02,15.72,7.7,7.454,8.006,15.46
1892,8.07,15.43,7.36,7.449,8,15.449
1893,8.06,15.13,7.07,7.413,8.008,15.421
1894,8.16,16.23,8.07,7.505,8.047,15.552
1895,8.15,15.27,7.12,7.518,8.07,15.588
1896,8.21,15.73,7.52,7.559,8.096,15.655
1897,8.29,15.6,7.31,7.516,8.134,15.65
1898,8.18,16.33,8.15,7.553,8.143,15.696
1899,8.4,15.84,7.44,7.599,8.151,15.75
1900,8.5,15.8,7.3,7.504,8.204,15.708
1901,8.54,15.26,6.72,7.406,8.256,15.662
1902,8.3,16.27,7.97,7.467,8.279,15.746
1903,8.22,15.56,7.34,7.494,8.295,15.789
1904,8.09,15.64,7.55,7.442,8.288,15.73
1905,8.23,15.5,7.27,7.457,8.296,15.753
1906,8.38,15.5,7.12,7.417,8.313,15.73
1907,7.95,15.57,7.62,7.448,8.279,15.727
1908,8.19,15.67,7.48,7.381,8.28,15.661
